recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
795,69996976105980800,57.3971,25.9928,16.722,7.0E-4,7.55,0.07,3.0908,0.1506,20.63,0.09,-46.82,0.06,57.397,25.993
1078,70010303387697024,57.4014,26.0377,17.7513,0.0013,7.4,0.14,3.5321,0.1374,20.39,0.18,-45.0,0.12,57.4013,26.0379
578,70019378655328768,56.6678,25.7314,15.8232,0.001,7.29,0.05,2.7354,0.0691,20.28,0.06,-44.52,0.04,56.6677,25.7316
51,70024154658949120,56.6452,25.8437,8.6456,3.0E-4,7.38,0.16,0.4909,7.0E-4,16.96,0.19,-45.53,0.14,56.6451,25.8439
1010,70024356520465664,56.6347,25.857,17.4768,0.0022,7.38,0.2,3.3127,0.1183,21.48,0.23,-46.61,0.19,56.6346,25.8572
387,70028170451469312,56.8411,25.8977,14.3856,8.0E-4,7.17,0.02,2.1703,0.0282,20.3,0.02,-45.19,0.02,56.841,25.8979
402,70035351636365824,56.4696,25.8615,14.5205,7.0E-4,7.22,0.03,2.3064,0.0173,20.43,0.04,-43.71,0.02,56.4695,25.8617
538,70035355933666304,56.4691,25.8616,15.6564,0.0021,7.06,0.13,,,18.97,0.17,-46.22,0.14,56.469,25.8618
600,70037795475083008,56.4692,25.9165,15.977,0.0012,7.03,0.05,3.116,0.0639,19.51,0.07,-44.04,0.05,56.4691,25.9167
643,70042743277270016,56.43,26.0406,16.2069,0.0012,7.29,0.06,2.9062,0.1067,20.26,0.07,-44.03,0.05,56.4299,26.0408
974,70044456967585280,56.5421,26.0024,17.3328,0.0016,7.08,0.1,3.1882,0.1159,19.89,0.12,-45.07,0.09,56.542,26.0026
367,70044628765739776,56.581,26.0431,14.089,0.001,7.48,0.02,1.992,0.0204,20.32,0.02,-45.98,0.02,56.5809,26.0433
186,70049477786093056,56.5397,26.1386,11.5163,5.0E-4,7.49,0.02,1.2717,0.0052,20.09,0.02,-45.75,0.02,56.5396,26.1388
822,70060610341280128,56.9329,26.224,16.8171,0.0014,7.12,0.07,3.0455,0.0996,20.06,0.08,-44.78,0.06,56.9328,26.2242
575,70072773688658432,56.8775,26.2789,15.8036,0.0014,7.39,0.05,2.7275,0.0454,20.97,0.05,-46.21,0.04,56.8774,26.2791
715,70077270518065920,56.8415,26.3797,16.4771,0.0013,7.54,0.06,2.9439,0.1215,20.68,0.07,-46.72,0.05,56.8414,26.3799
607,70085933468406784,56.9859,26.5305,16.0108,0.0022,7.29,0.11,,,21.78,0.56,-44.79,0.31,56.9858,26.5307
1126,70087612798384384,55.5148,25.3215,18.0606,0.0018,7.53,0.18,3.8822,0.1612,18.99,0.21,-47.14,0.16,55.5147,25.3217
754,70088819686490496,55.5143,25.3774,16.5824,0.0015,7.21,0.08,3.1686,0.0886,20.09,0.1,-43.88,0.07,55.5142,25.3776
1095,70091259227969920,55.6599,25.4788,17.8434,0.0013,7.23,0.13,3.4304,0.146,20.46,0.14,-44.29,0.12,55.6598,25.479
517,70097581419826944,55.6826,25.5349,15.5275,0.001,7.28,0.04,2.6342,0.0628,20.13,0.04,-45.39,0.03,55.6825,25.5351
624,70098612211973248,55.7816,25.5746,16.0977,0.0013,7.41,0.06,2.8966,0.0608,20.44,0.06,-45.95,0.05,55.7815,25.5748
93,70108473456817280,55.4008,25.6191,9.9319,4.0E-4,7.26,0.02,0.7802,0.0017,17.45,0.02,-43.16,0.02,55.4007,25.6193
