recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
692,63632178171114624,57.46,20.9665,16.3833,7.0E-4,7.38,0.06,2.9521,0.1153,19.64,0.06,-45.24,0.04,57.4599,20.9667
612,63661521387693824,58.2423,21.424,16.0227,0.002,7.38,0.05,2.9644,0.0765,18.88,0.06,-45.56,0.04,58.2422,21.4242
474,63677326867342464,58.1025,21.5061,15.1997,8.0E-4,7.42,0.03,2.5986,0.0608,19.85,0.04,-44.94,0.02,58.1024,21.5063
1104,63692475216749312,57.3052,21.3668,17.8767,0.0016,7.2,0.17,3.2887,0.0997,19.93,0.22,-45.53,0.13,57.3051,21.367
400,63693785181958912,57.4659,21.3071,14.509,7.0E-4,7.22,0.03,2.499,0.0459,19.92,0.04,-44.13,0.02,57.4658,21.3073
765,63705433133130368,57.201,21.4111,16.6049,0.0013,7.14,0.06,3.0054,0.1226,19.17,0.08,-43.5,0.05,57.2009,21.4113
811,63717665199974016,57.3439,21.6321,16.7902,9.0E-4,7.56,0.07,3.1923,0.1166,20.41,0.08,-46.36,0.05,57.3438,21.6323
168,63730309584280960,57.9255,21.6682,11.2718,6.0E-4,7.15,0.02,1.0521,0.0032,19.08,0.03,-43.61,0.02,57.9254,21.6684
555,63773774653147904,58.1903,21.6887,15.7268,0.0011,7.15,0.05,2.7599,0.0896,17.88,0.06,-44.37,0.04,58.1902,21.6889
1106,63786625195137664,58.2676,21.8898,17.9045,0.0013,7.64,0.16,3.4545,0.191,19.88,0.19,-47.96,0.12,58.2675,21.89
411,63795455648004608,58.6451,21.8837,14.6224,5.0E-4,7.26,0.03,2.2965,0.065,18.87,0.03,-44.55,0.02,58.645,21.8839
1032,63824901943723392,58.0183,21.7607,17.5523,0.0011,7.36,0.1,3.3073,0.1933,18.18,0.13,-44.52,0.07,58.0182,21.7609
662,63826070174824192,57.9649,21.8212,16.2885,0.0012,7.52,0.06,2.9463,0.0882,20.68,0.07,-45.12,0.05,57.9648,21.8214
583,63826448131945984,57.9663,21.8226,15.8414,7.0E-4,7.46,0.04,2.796,0.0991,20.39,0.05,-45.64,0.03,57.9662,21.8228
258,63849572235829248,57.8495,22.1132,12.7243,0.0013,7.29,0.02,1.4535,0.0043,18.72,0.02,-44.62,0.01,57.8494,22.1134
190,63876402894075904,58.4702,22.4183,11.6736,8.0E-4,7.45,0.02,1.2947,0.0025,19.47,0.02,-45.26,0.01,58.4701,22.4185
473,63884584809145600,58.2374,22.4335,15.1894,6.0E-4,7.43,0.03,2.5229,0.0877,18.81,0.04,-45.97,0.03,58.2373,22.4337
1108,63889085934846208,58.4723,22.5103,17.9237,0.0013,7.64,0.14,3.3859,0.1603,20.75,0.15,-47.27,0.1,58.4722,22.5105
564,63892006512622848,58.2156,22.5256,15.7727,7.0E-4,7.42,0.04,2.7908,0.0866,19.0,0.05,-46.56,0.03,58.2155,22.5258
211,63916431989200256,56.8924,21.7466,11.9852,7.0E-4,7.64,0.01,1.2186,0.0041,19.06,0.02,-46.16,0.01,56.8923,21.7468
1123,63923205154013312,56.9208,21.8179,18.0406,0.0021,7.72,0.17,3.3765,0.1601,20.97,0.22,-46.98,0.13,56.9207,21.8181
1022,63937700667501184,57.2624,21.9129,17.5306,0.0013,7.74,0.12,3.3087,0.0998,20.13,0.14,-48.43,0.1,57.2623,21.9131
1157,63940208928422656,57.4239,21.9385,18.2868,0.0016,7.69,0.18,3.4041,0.1331,18.5,0.21,-45.13,0.15,57.4238,21.9387
196,63951826816390144,57.1942,22.07,11.7999,0.0016,7.19,0.12,1.2486,0.0018,19.02,0.13,-44.79,0.1,57.1941,22.0702
719,63953819680971008,57.0735,22.0668,16.4832,0.0012,7.6,0.05,2.9619,0.1177,20.28,0.07,-45.3,0.05,57.0734,22.067
274,63958561324922240,57.2969,22.1766,12.9938,0.0015,7.43,0.18,1.7024,0.0107,21.6,0.19,-49.77,0.14,57.2968,22.1768
280,63958801843006208,57.3996,22.1512,13.1419,8.0E-4,7.28,0.07,1.9259,0.0149,19.81,0.09,-42.3,0.06,57.3995,22.1514
565,63959351598814336,57.4519,22.18,15.7729,0.0012,6.97,0.06,2.6924,0.0779,18.39,0.06,-42.3,0.04,57.4518,22.1802
155,63988351216124288,56.2817,21.9958,11.1299,8.0E-4,7.47,0.04,1.0912,0.0016,19.55,0.06,-48.57,0.03,56.2816,21.996
966,63989691247627776,56.4131,22.0729,17.3064,0.0014,7.6,0.11,3.2858,0.1443,20.3,0.14,-45.66,0.1,56.413,22.0731
1091,63995562466405760,56.7092,22.2116,17.8072,0.0013,7.07,0.14,3.4893,0.1388,20.74,0.16,-44.14,0.11,56.7091,22.2118
769,63999999169130112,56.6306,22.3053,16.6159,9.0E-4,7.43,0.06,3.2331,0.0935,19.54,0.08,-46.41,0.06,56.6305,22.3055
1228,64001339197473408,56.9919,22.114,19.1174,0.0031,7.6,0.28,3.5429,0.2276,19.98,0.32,-46.5,0.24,56.9918,22.1142
1257,64005183194070272,56.8656,22.1606,19.8937,0.004,7.32,0.45,4.0754,0.312,19.48,0.52,-43.88,0.41,56.8655,22.1608
355,64006905476619776,56.8469,22.2444,13.8961,0.0012,7.12,0.02,1.8875,0.014,19.57,0.02,-44.08,0.02,56.8468,22.2446
1143,64007244778181248,56.9362,22.2121,18.1596,0.002,7.27,0.16,3.3576,0.1476,19.74,0.18,-44.91,0.14,56.9361,22.2123
880,64021714523841280,56.8352,22.3656,17.0398,0.0011,7.33,0.09,3.2313,0.1397,19.47,0.1,-46.25,0.08,56.8351,22.3658
1090,64024081049308800,56.6692,22.3675,17.7956,0.0015,7.39,0.15,3.4698,0.1294,19.24,0.17,-44.28,0.12,56.6691,22.3677
780,64027143362491008,56.9362,22.398,16.6564,0.0012,7.55,0.07,3.1401,0.1115,21.06,0.09,-46.67,0.06,56.9361,22.3982
1042,64032503481665280,56.8437,22.5196,17.5883,0.0015,7.41,0.14,3.3904,0.0875,20.57,0.15,-45.52,0.12,56.8436,22.5198
601,64037588724758400,57.6332,22.1464,15.9812,6.0E-4,6.95,0.05,2.7975,0.0978,18.11,0.06,-41.36,0.04,57.6331,22.1466
336,64040818540162304,57.5955,22.1881,13.7161,7.0E-4,7.28,0.02,1.9026,0.019,17.15,0.02,-46.27,0.01,57.5954,22.1883
351,64050645425295872,57.7664,22.4045,13.8596,0.001,7.43,0.02,1.9323,0.0192,19.34,0.03,-46.0,0.01,57.7663,22.4047
7,64053566003097984,57.4796,22.244,6.0404,6.0E-4,7.41,0.1,0.0235,0.0,21.22,0.22,-42.77,0.1,57.4795,22.2442
1038,64057895330132224,57.3565,22.3122,17.5744,0.0015,7.12,0.15,3.2433,0.1035,19.56,0.16,-44.43,0.11,57.3564,22.3124
891,64059407158605568,57.3978,22.3905,17.0587,0.001,7.4,0.09,3.0556,0.0984,19.47,0.11,-45.0,0.07,57.3977,22.3907
675,64064011363520512,57.656,22.4687,16.3234,0.0013,7.13,0.06,2.9244,0.0973,19.9,0.08,-44.34,0.04,57.6559,22.4689
235,64066107307543296,57.7245,22.5479,12.3646,0.0014,7.27,0.01,1.3313,0.0027,17.87,0.02,-45.12,0.01,57.7244,22.5481
435,64073597730589952,58.1437,22.502,14.9582,8.0E-4,6.98,0.03,2.3958,0.0731,19.21,0.04,-42.48,0.02,58.1436,22.5022
461,64078167575681152,58.0233,22.5819,15.0994,5.0E-4,7.52,0.03,2.5075,0.0699,18.65,0.04,-45.63,0.02,58.0232,22.5821
908,64092907903452800,57.7756,22.6334,17.1264,9.0E-4,7.5,0.09,3.144,0.1234,20.88,0.11,-45.91,0.07,57.7755,22.6336
1175,64094041774819328,57.7145,22.6659,18.4577,0.0018,7.31,0.21,3.6202,0.1567,18.17,0.27,-45.34,0.18,57.7144,22.6661
437,64094037476647040,57.7041,22.6698,14.9738,7.0E-4,7.39,0.03,2.4699,0.0443,18.3,0.04,-44.93,0.03,57.704,22.67
199,64095656682494720,57.9127,22.7501,11.8502,4.0E-4,7.28,0.02,1.1648,0.0085,19.6,0.02,-45.6,0.01,57.9126,22.7503
329,64103009666497024,57.8493,22.8413,13.667,0.0011,7.43,0.02,1.8396,0.0119,19.64,0.02,-44.99,0.01,57.8492,22.8415
590,64104933811828480,57.9609,22.8955,15.9063,7.0E-4,7.32,0.04,2.7891,0.0973,18.24,0.05,-44.87,0.04,57.9608,22.8957
19,64109915973846528,57.4092,22.5333,7.0044,3.0E-4,7.3,0.03,0.0425,1.0E-4,18.22,0.04,-44.57,0.02,57.4091,22.5335
28,64114245300877184,57.297,22.6093,7.706,3.0E-4,7.46,0.03,0.2344,2.0E-4,21.06,0.04,-47.31,0.02,57.2969,22.6095
645,64117062799542016,57.5919,22.6255,16.2117,8.0E-4,7.16,0.06,2.893,0.1005,18.44,0.07,-42.44,0.04,57.5918,22.6257
988,64117784354039040,57.605,22.6754,17.3992,0.0013,6.98,0.12,3.205,0.092,17.91,0.15,-43.82,0.09,57.6049,22.6756
1256,64124136607381888,57.1599,22.5643,19.8632,0.0048,7.39,0.62,3.0806,0.1782,21.8,0.75,-46.32,0.47,57.1598,22.5645
1222,64127881818726400,57.2102,22.7415,18.9648,0.0027,6.99,0.35,3.2448,0.1615,20.63,0.43,-40.82,0.25,57.2101,22.7417
690,64128294135554688,57.0239,22.6358,16.3727,0.002,7.27,0.07,2.9876,0.0824,19.48,0.08,-45.45,0.05,57.0238,22.636
840,64129294866302336,56.9757,22.6569,16.8719,0.0011,7.33,0.08,3.0408,0.0801,21.16,0.1,-46.78,0.07,56.9756,22.6571
350,64131150292139648,57.1569,22.7691,13.8464,0.0014,7.23,0.02,1.9364,0.0127,19.03,0.03,-44.59,0.02,57.1568,22.7693
694,64136063734692224,57.361,22.8484,16.3885,9.0E-4,7.47,0.06,2.8685,0.0915,19.04,0.08,-45.88,0.05,57.3609,22.8486
250,64148738180119680,57.6919,22.9305,12.5485,0.0016,7.33,0.01,1.4772,0.0028,19.43,0.02,-44.96,0.01,57.6918,22.9307
1050,64157023175179776,57.8325,23.0676,17.616,0.0017,7.37,0.13,3.3113,0.1432,19.23,0.13,-43.41,0.09,57.8324,23.0678
1036,64160940185240064,57.5734,22.9329,17.5633,0.0011,7.17,0.11,3.4513,0.1747,18.97,0.12,-42.77,0.08,57.5733,22.9331
1179,64163242287720448,57.4218,22.9445,18.5054,0.0018,7.35,0.19,3.7012,0.1902,19.51,0.23,-44.86,0.15,57.4217,22.9447
866,64168705486089216,57.616,23.0651,16.969,8.0E-4,7.25,0.07,3.0461,0.1235,18.27,0.08,-44.1,0.05,57.6159,23.0653
158,64172038380708224,57.5889,23.0961,11.1686,6.0E-4,7.51,0.03,1.0254,0.0026,19.61,0.03,-46.56,0.02,57.5888,23.0963
494,64174546641593984,57.6622,23.2172,15.3923,5.0E-4,7.3,0.04,2.5683,0.1134,18.26,0.04,-45.38,0.02,57.6621,23.2174
745,64215125490886656,55.2059,21.2152,16.562,0.0011,7.34,0.06,3.0648,0.1216,20.56,0.07,-43.77,0.05,55.2058,21.2154
928,64232271000313472,55.1576,21.4061,17.185,0.0011,7.17,0.11,3.3437,0.1102,19.85,0.11,-44.28,0.07,55.1575,21.4063
369,64250477365329536,54.5368,21.2468,14.1586,0.0017,7.48,0.02,2.0705,0.015,20.79,0.03,-45.27,0.02,54.5367,21.247
816,64259518272776576,54.7646,21.4221,16.8002,0.0012,7.5,0.07,3.141,0.1389,21.51,0.09,-45.63,0.06,54.7645,21.4223
214,64272128296706432,54.3014,21.468,12.0392,9.0E-4,7.4,0.02,1.2081,0.0035,21.4,0.02,-45.16,0.01,54.3013,21.4682
236,64276315888567424,54.6243,21.5649,12.3702,0.0012,7.36,0.02,1.3516,0.0029,19.53,0.02,-45.21,0.01,54.6242,21.5651
22,64313222543810560,54.8051,21.8431,7.2714,3.0E-4,7.19,0.05,0.1051,2.0E-4,19.99,0.06,-43.7,0.04,54.805,21.8433
652,64331123967672448,55.638,21.7045,16.2465,0.0012,7.45,0.05,3.0203,0.0709,20.54,0.07,-45.72,0.05,55.6379,21.7047
865,64346276612274816,55.6849,21.8534,16.9679,0.0013,7.6,0.07,3.1351,0.0932,20.81,0.09,-46.61,0.07,55.6848,21.8536
106,64380636350910464,55.8798,22.1582,10.2332,4.0E-4,7.41,0.02,0.8913,0.0019,19.66,0.02,-45.71,0.01,55.8797,22.1584
1146,64387439578878208,55.1992,21.7226,18.1698,0.0021,7.24,0.2,3.3247,0.0907,20.92,0.23,-45.34,0.16,55.1991,21.7228
845,64401389632616960,55.3478,22.0315,16.8891,0.0014,7.3,0.07,3.3004,0.1079,19.5,0.09,-44.14,0.07,55.3477,22.0317
1020,64430939007563520,55.5443,22.3014,17.5206,0.0017,7.59,0.14,3.355,0.1365,21.56,0.14,-49.05,0.1,55.5442,22.3016
1145,64433924008996224,55.7772,22.2969,18.169,0.0021,7.32,0.19,3.4811,0.1408,21.34,0.22,-45.52,0.13,55.7771,22.2971
1099,64438184617001472,55.7344,22.3772,17.855,0.0019,7.09,0.2,3.7244,0.1565,20.68,0.24,-45.9,0.14,55.7343,22.3774
295,64438841747360768,55.7491,22.4241,13.3615,7.0E-4,7.45,0.02,1.7057,0.0148,21.41,0.02,-44.39,0.01,55.749,22.4243
744,64441143849872512,55.412,22.2777,16.5564,8.0E-4,7.5,0.07,2.9938,0.0965,21.01,0.08,-44.6,0.06,55.4119,22.2779
458,64445988572906752,55.2294,22.3495,15.09,6.0E-4,7.32,0.03,2.4965,0.067,20.14,0.04,-44.14,0.03,55.2293,22.3497
698,64449321467581056,55.5071,22.3906,16.4146,0.0012,7.52,0.06,2.9703,0.094,21.5,0.07,-46.91,0.05,55.507,22.3908
103,64449729487990912,55.6002,22.4209,10.2071,0.0015,7.33,0.03,0.8413,4.0E-4,19.75,0.03,-44.4,0.02,55.6001,22.4211
176,64450283540250240,55.5165,22.4267,11.3585,0.0017,7.02,0.1,1.2402,0.0011,19.35,0.12,-43.95,0.08,55.5164,22.4269
1077,64453685154291968,55.4378,22.467,17.7331,0.0017,7.49,0.14,3.3466,0.1295,20.48,0.16,-45.34,0.1,55.4377,22.4672
1080,64453887017111808,55.4568,22.4934,17.7597,0.0014,7.38,0.14,3.3796,0.1525,21.21,0.18,-46.05,0.11,55.4567,22.4936
556,64456262134709376,55.6139,22.5734,15.7318,9.0E-4,7.18,0.04,2.9179,0.0922,19.0,0.06,-43.15,0.04,55.6138,22.5736
453,64555694921236352,53.729,22.0794,15.0643,9.0E-4,7.14,0.04,2.4449,0.0483,19.49,0.04,-43.01,0.03,53.7289,22.0796
961,64574352259640192,54.4224,22.2885,17.2962,0.0013,7.42,0.12,3.353,0.1171,20.24,0.13,-44.98,0.1,54.4223,22.2887
63,64575730944903552,54.3503,22.3508,9.0814,5.0E-4,7.51,0.08,0.6877,5.0E-4,15.79,0.09,-47.88,0.07,54.3502,22.351
991,64588753286083328,53.9435,22.4137,17.406,0.0013,7.1,0.12,3.2268,0.1445,20.77,0.14,-44.56,0.11,53.9434,22.4139
549,64589062523316736,53.9345,22.4526,15.7065,6.0E-4,7.15,0.04,2.6721,0.1185,21.27,0.05,-43.37,0.04,53.9344,22.4528
313,64597927335800064,54.1015,22.6236,13.515,7.0E-4,7.14,0.06,1.7697,0.0239,21.3,0.08,-44.43,0.06,54.1014,22.6238
521,64600813554014592,54.9342,22.1292,15.5468,0.0013,7.1,0.04,2.6199,0.0619,20.74,0.06,-42.96,0.04,54.9341,22.1294
483,64642801154268672,55.3556,22.5487,15.3038,0.001,7.3,0.04,2.5549,0.0498,21.13,0.04,-44.5,0.03,55.3555,22.5489
551,64644484781444864,55.3334,22.6315,15.7097,7.0E-4,7.01,0.05,2.6998,0.1018,18.67,0.06,-42.99,0.04,55.3333,22.6317
915,64653383953596032,55.0293,22.6464,17.1475,0.0013,7.4,0.1,3.1411,0.1183,20.85,0.1,-45.53,0.08,55.0292,22.6466
809,64656201452146304,54.9367,22.6541,16.7806,0.0011,7.6,0.09,3.0837,0.1164,20.75,0.09,-46.5,0.06,54.9366,22.6543
849,64665203703566848,55.1801,22.8315,16.9,0.001,7.38,0.08,3.1137,0.1139,20.7,0.1,-44.36,0.06,55.18,22.8317
884,64667535869958784,55.2271,22.907,17.0434,0.0013,7.2,0.08,3.1545,0.1226,19.8,0.1,-44.31,0.07,55.227,22.9072
94,64671903852618624,54.5942,22.4995,9.9413,6.0E-4,7.39,0.02,0.7444,8.0E-4,21.47,0.02,-44.81,0.01,54.5941,22.4997
12,64679840952155264,54.6698,22.6594,6.7019,3.0E-4,7.37,0.04,1.0E-4,1.0E-4,20.16,0.05,-45.36,0.03,54.6697,22.6596
764,64720179284934016,55.0994,23.069,16.6042,9.0E-4,7.41,0.07,2.951,0.1174,20.74,0.08,-44.93,0.06,55.0993,23.0692
826,64720625961541120,54.9572,23.0572,16.829,0.001,7.38,0.08,3.0872,0.1197,21.09,0.09,-44.75,0.06,54.9571,23.0574
975,64734709159049600,54.9306,23.2069,17.3392,0.0013,7.24,0.11,3.0979,0.1307,20.62,0.13,-43.0,0.09,54.9305,23.2071
69,64739248940235392,56.2456,22.0323,9.362,2.0E-4,7.14,0.02,0.6642,0.0023,18.83,0.03,-43.71,0.02,56.2455,22.0325
1141,64745841713292160,56.2433,22.1916,18.1499,0.0024,7.11,0.2,3.4671,0.1741,19.05,0.26,-44.41,0.17,56.2432,22.1918
1162,64764189813713408,56.123,22.4234,18.327,0.002,7.7,0.18,3.3427,0.1509,20.06,0.21,-46.42,0.16,56.1229,22.4236
1207,64765254965634176,56.1064,22.4637,18.8129,0.003,6.92,0.24,3.452,0.1357,19.37,0.3,-43.44,0.22,56.1063,22.4639
625,64768763955442944,56.3607,22.5254,16.0994,0.002,7.33,0.05,2.7873,0.0582,19.92,0.06,-44.25,0.05,56.3606,22.5256
127,64770241424108032,56.1743,22.4643,10.5909,8.0E-4,7.55,0.02,0.9157,0.001,22.08,0.02,-45.37,0.02,56.1742,22.4645
743,64795289673433728,56.5578,22.7053,16.5535,9.0E-4,7.45,0.07,3.1778,0.1257,19.32,0.08,-46.23,0.06,56.5577,22.7055
577,64796045587678208,56.54,22.7102,15.8228,0.0011,6.9,0.05,2.9846,0.0814,18.73,0.05,-42.98,0.04,56.5399,22.7104
705,64797523056344064,56.2863,22.6416,16.4534,0.0013,7.47,0.07,3.0058,0.0898,22.01,0.08,-46.66,0.06,56.2862,22.6418
637,64798038452412928,56.3019,22.6973,16.1742,0.0025,7.29,0.06,2.8594,0.0797,19.38,0.06,-46.04,0.05,56.3018,22.6975
31,64798691287540224,56.4163,22.6943,7.8001,4.0E-4,7.29,0.03,0.2516,2.0E-4,19.83,0.04,-44.16,0.03,56.4162,22.6945
954,64804360644343424,56.6684,22.8442,17.2844,0.0013,7.5,0.11,3.1541,0.093,20.18,0.12,-46.93,0.09,56.6683,22.8444
67,64808204638390912,56.6601,22.9196,9.3063,3.0E-4,7.15,0.02,0.6574,0.0013,19.92,0.02,-43.55,0.02,56.66,22.9198
361,64808483812941440,56.6451,22.9353,14.0118,9.0E-4,7.26,0.02,1.9754,0.0227,19.45,0.03,-45.28,0.02,56.645,22.9355
972,64818203322590208,55.8644,22.6279,17.3265,0.0017,7.74,0.11,3.169,0.0913,21.29,0.13,-48.16,0.09,55.8643,22.6281
1188,64822017259193600,56.1067,22.6687,18.58,0.0023,7.29,0.18,3.5607,0.1314,19.39,0.21,-43.84,0.16,56.1066,22.6689
89,64837139834697984,55.8717,22.7344,9.7662,0.0021,7.56,0.02,0.7774,0.0,21.9,0.03,-45.3,0.02,55.8716,22.7346
55,64837242912474624,55.8721,22.7346,8.8853,3.0E-4,7.53,0.02,0.5957,0.0,20.07,0.03,-45.96,0.02,55.872,22.7348
821,64840541448791424,55.8293,22.7861,16.8161,0.0017,7.56,0.08,3.0729,0.0639,20.64,0.1,-46.4,0.07,55.8292,22.7863
379,64841503521468544,55.7676,22.8008,14.2971,0.0016,7.64,0.15,2.2963,0.014,21.91,0.24,-43.99,0.16,55.7675,22.801
858,64843805623922688,55.8549,22.8955,16.9343,0.0012,7.53,0.07,3.1049,0.1414,20.22,0.09,-46.16,0.06,55.8548,22.8957
300,64856312568645248,56.522,22.9814,13.414,8.0E-4,7.6,0.02,1.7675,0.014,20.51,0.02,-47.91,0.01,56.5219,22.9816
726,64857721317916032,56.4875,23.0246,16.5046,9.0E-4,7.39,0.08,3.0125,0.1011,20.84,0.09,-46.31,0.06,56.4874,23.0248
407,64864593265614464,56.1575,22.9208,14.6024,0.0011,7.19,0.03,2.3684,0.0324,20.3,0.04,-41.24,0.03,56.1574,22.921
398,64870296982175488,56.0368,23.0797,14.498,0.0015,7.34,0.03,2.2233,0.023,21.63,0.03,-45.15,0.02,56.0367,23.0799
665,64871740091177600,56.2951,23.0493,16.2957,0.0028,7.33,0.06,2.979,0.0746,19.7,0.07,-45.6,0.04,56.295,23.0495
1239,64873045759681792,56.2633,23.1161,19.3996,0.0035,7.19,0.45,3.2032,0.1871,19.62,0.5,-45.25,0.31,56.2632,23.1163
907,64874454510493440,56.3917,23.185,17.1109,0.0012,7.39,0.09,3.2422,0.1034,19.87,0.11,-45.28,0.07,56.3916,23.1852
56,64879402312818944,56.2136,23.2687,8.8861,2.0E-4,7.39,0.02,0.5479,0.0012,20.55,0.02,-44.3,0.02,56.2135,23.2689
606,64884624994048256,56.895,22.8011,16.0038,0.0011,7.31,0.05,2.8413,0.1111,20.06,0.06,-44.55,0.04,56.8949,22.8013
203,64888129687348736,56.9209,22.9298,11.8863,0.0029,7.49,0.33,1.4087,8.0E-4,21.14,0.4,-41.26,0.23,56.9208,22.93
452,64889126119831040,57.0945,22.8725,15.0625,7.0E-4,7.62,0.03,2.4895,0.0495,20.54,0.04,-46.75,0.03,57.0944,22.8727
399,64891634380723712,57.2543,22.9802,14.5059,8.0E-4,7.48,0.03,2.2169,0.0405,19.78,0.03,-45.89,0.02,57.2542,22.9804
639,64894623677888640,56.9704,22.9926,16.1766,8.0E-4,7.17,0.06,3.1198,0.0871,17.46,0.08,-44.84,0.05,56.9703,22.9928
464,64895139073954944,57.0244,23.034,15.134,0.0014,7.31,0.03,2.516,0.0357,19.29,0.04,-45.0,0.02,57.0243,23.0342
934,64896101146708224,57.2112,23.0749,17.1941,0.0013,7.77,0.08,3.2383,0.1317,20.95,0.1,-48.33,0.07,57.2111,23.0751
40,64898368889386624,56.8455,22.9219,8.1244,3.0E-4,7.86,0.33,0.3388,4.0E-4,20.18,0.44,-44.64,0.27,56.8454,22.9221
112,64899017426872960,56.6962,22.9144,10.3431,7.0E-4,7.19,0.02,0.8286,9.0E-4,18.76,0.02,-45.0,0.02,56.6961,22.9146
945,64900739711320960,56.9159,23.0011,17.2318,0.0012,7.46,0.1,3.0772,0.0782,18.69,0.13,-45.01,0.08,56.9158,23.0013
449,64905618794174720,56.7034,23.0686,15.0403,0.0013,7.24,0.04,2.4779,0.0401,20.84,0.05,-45.3,0.03,56.7033,23.0688
947,64909153549943296,57.0997,23.1355,17.2428,0.0013,7.44,0.09,3.1105,0.1126,18.03,0.11,-46.28,0.07,57.0996,23.1357
588,64912009705490304,56.8495,23.149,15.8904,8.0E-4,7.35,0.05,2.8285,0.1469,19.45,0.07,-45.54,0.05,56.8494,23.1492
147,64913452814489216,56.9506,23.2179,10.9458,6.0E-4,7.41,0.02,0.9448,0.0024,20.05,0.03,-45.85,0.02,56.9505,23.2181
967,64915754917051520,57.3568,23.0471,17.3106,0.0016,7.54,0.09,3.1745,0.1163,21.64,0.1,-46.67,0.07,57.3567,23.0473
477,64916751349465856,57.2429,23.094,15.2621,8.0E-4,7.39,0.03,2.5176,0.0718,20.63,0.04,-46.78,0.03,57.2428,23.0942
619,64917094946846848,57.2748,23.1059,16.0746,0.001,7.43,0.06,2.8367,0.0926,18.89,0.07,-46.58,0.05,57.2747,23.1061
1114,64921389914137984,57.2491,23.2019,17.9613,0.0045,7.36,0.24,3.7842,0.186,21.47,0.26,-43.4,0.19,57.249,23.2021
174,64921458633614976,57.2438,23.201,11.3249,8.0E-4,7.15,0.05,1.0807,0.0026,22.18,0.06,-41.07,0.04,57.2437,23.2012
326,64922283267331968,57.3014,23.2281,13.6334,0.0012,7.45,0.02,1.8176,0.0118,19.73,0.02,-46.05,0.01,57.3013,23.2283
1240,64923137964643840,57.2392,23.2329,19.4004,0.0031,7.1,0.38,3.7565,0.251,18.16,0.41,-43.09,0.27,57.2391,23.2331
183,64923279699744256,57.2598,23.2522,11.4733,8.0E-4,7.27,0.02,1.0478,0.0036,19.73,0.02,-44.43,0.02,57.2597,23.2524
101,64924413571101952,57.4855,23.2184,10.1388,4.0E-4,6.92,0.02,0.7788,0.0022,18.92,0.02,-43.2,0.01,57.4854,23.2186
1060,64925444363253632,57.4215,23.2497,17.6579,0.0025,7.66,0.2,3.6086,0.1385,21.22,0.21,-44.6,0.15,57.4214,23.2499
1024,64927368508592512,57.5209,23.3046,17.5344,0.0012,7.37,0.12,3.2162,0.1524,19.02,0.13,-46.85,0.09,57.5208,23.3048
146,64928605459180416,57.4143,23.2899,10.9377,8.0E-4,7.2,0.03,0.9424,0.0012,18.62,0.03,-44.55,0.02,57.4142,23.2901
1016,64928674178659968,57.3841,23.2715,17.5135,0.0012,7.35,0.1,3.1949,0.1442,20.45,0.11,-44.87,0.08,57.384,23.2717
38,64929391436043264,57.4206,23.3414,8.0943,3.0E-4,7.32,0.04,0.2731,5.0E-4,18.73,0.04,-45.13,0.04,57.4205,23.3416
60,64930495244783616,57.3865,23.3802,9.0349,2.0E-4,7.23,0.02,0.5873,0.0014,20.35,0.02,-44.3,0.02,57.3864,23.3804
47,64933759417769984,57.183,23.2596,8.3369,3.0E-4,7.32,0.03,0.3846,4.0E-4,19.29,0.04,-44.88,0.02,57.1829,23.2598
986,64933759417767424,57.1842,23.2605,17.3853,0.0131,7.47,0.17,0.9156,0.005,17.14,0.23,-42.41,0.17,57.1841,23.2607
226,64934893291213952,57.1169,23.3006,12.2423,0.0019,7.46,0.01,1.3191,0.002,20.4,0.02,-45.46,0.01,57.1168,23.3008
269,64936508198907904,57.1894,23.3387,12.8828,8.0E-4,7.45,0.01,1.5054,0.009,18.98,0.02,-45.76,0.01,57.1893,23.3389
3,64940906245415808,57.0868,23.421,5.4283,8.0E-4,7.69,0.1,-0.0671,0.0,19.7,0.11,-47.11,0.08,57.0867,23.4212
104,64941211186036352,57.1439,23.4346,10.2104,7.0E-4,7.38,0.02,0.7899,0.001,19.37,0.02,-45.08,0.01,57.1438,23.4348
1071,64942001460286080,57.3152,23.3802,17.7043,0.0013,7.44,0.13,3.3387,0.1638,20.16,0.16,-46.22,0.11,57.3151,23.3804
691,64943758103791104,57.3858,23.4112,16.3829,7.0E-4,7.49,0.07,3.1141,0.1076,20.36,0.08,-45.12,0.05,57.3857,23.4114
323,64944170420647296,57.3956,23.4545,13.6025,0.0021,6.93,0.17,1.8906,0.0095,20.77,0.2,-48.46,0.14,57.3955,23.4547
976,64946025846426752,57.2033,23.4132,17.3475,0.0012,7.36,0.09,3.2199,0.1283,19.2,0.11,-47.02,0.08,57.2032,23.4134
1248,64949461820867584,57.2703,23.5608,19.5984,0.0039,6.88,0.53,3.2585,0.26,18.84,0.67,-45.53,0.41,57.2702,23.561
1118,64950488315122560,56.6293,23.0262,17.9917,0.0018,6.91,0.18,3.2927,0.1077,18.4,0.24,-44.56,0.17,56.6292,23.0264
1062,64950625753906176,56.5809,23.0153,17.679,0.0025,7.34,0.22,3.7104,0.1378,18.79,0.26,-44.41,0.18,56.5808,23.0155
