ra,dec,parallax,pmra,pmdec,g,bp,rp,ruwe,color,M_G,cluster,prob,is_member,is_pleiades
58.26896651993362,22.801152586524747,7.293432572419531,19.03670012500196,-45.56094834136595,13.100869,13.850247,12.250756,1.0444378,1.5994909999999989,7.415528861345518,0,1.0,True,True
58.31550471151817,22.870486617226987,7.730450865699229,19.49914419001883,-47.30489909870079,15.532084,17.030619,14.3320675,1.0875376,2.6985515000000007,9.973108120804458,0,1.0,True,True
58.256848955762266,22.97990043814057,7.420786200411975,18.67910400073735,-45.22834943525854,16.564484,18.348476,15.2921915,1.0472369,3.056284500000002,10.916733596754144,0,1.0,True,True
58.29240738957876,23.052790825962784,7.339353946453763,19.736552774957616,-46.53611248805149,15.395707,16.808872,14.223,1.0626303,2.585872,9.72399616208796,0,1.0,True,True
58.65574608992024,23.225564592105965,7.137677265702494,19.005755722632816,-43.62218914476007,16.585747,18.35791,15.306788,1.0254011,3.051122000000001,10.853531535909063,0,1.0,True,True
58.87881546681414,23.39733058626634,7.351477392023253,18.06127546907313,-44.04141589893502,15.975678,17.525719,14.756134,1.0316733,2.769585,10.307551129929124,0,1.0,True,True
56.56707190515839,21.685964591098188,7.549210863325092,20.55443406688813,-44.10004903775615,17.830143,19.816528,16.521221,1.0442908,3.295307000000001,12.219650780917268,0,1.0,True,True
58.50472216314687,23.327914274720143,6.977480091655439,18.083135470389173,-42.80795268094474,18.158997,20.425034,16.81365,1.0187693,3.611384000000001,12.37749003010537,0,0.8349277377128601,True,True
56.29127878438316,21.70437958429157,7.948371194389312,20.88724542680472,-48.14377497155412,9.8515625,10.1398535,9.392272,1.0076236,0.747581499999999,4.352953203808589,0,0.6143751740455627,True,True
56.44566068110117,21.74683088275721,8.15854167678367,21.819412763175173,-50.5366187954912,17.087347,19.225523,15.744163,1.0640926,3.4813599999999987,11.645409682049577,0,0.5420116782188416,True,True
58.55428664833431,23.34726970627501,7.593239732644184,19.433131920141896,-46.78892199301689,15.459801,16.896822,14.279595,1.0476878,2.617227,9.861936557878284,0,1.0,True,True
58.318577934063626,23.349339904045625,6.865076901566834,17.188845023349536,-41.70022565167011,17.307737,19.188805,16.02317,1.0078301,3.165634999999998,11.490964032509948,0,0.8183038830757141,True,True
57.83124732910963,23.16358608120615,7.282151258469367,18.81693981424189,-43.442427037819215,16.071117,17.700754,14.832083,1.0601745,2.868670999999999,10.382415477381514,0,1.0,True,True
57.81600521946067,23.282072324477088,7.39121408595741,20.26612035644532,-45.198913858633816,14.110739,15.143591,13.089289,1.0752883,2.054302,8.45431790883783,0,1.0,True,True
57.96320232011635,23.294606604742206,7.35529316322418,18.71857105545529,-46.02887604433456,15.41097,16.859787,14.228603,0.9858418,2.631184000000001,9.74396993639403,0,1.0,True,True
57.91290560165287,23.367730001000808,8.117417323793795,21.38182935914153,-48.72743631326327,17.106327,18.973682,15.818094,1.1122673,3.155588,11.653416370073202,0,0.7705723643302917,True,True
57.779677513231455,23.349183178047287,6.69801332118288,17.208624900521556,-41.877844853353125,16.782677,18.485563,15.52881,0.9534129,2.956752999999999,10.912407034704266,0,0.7302849292755127,True,True
57.71444143460519,23.32886877946897,7.333804587650971,18.888363146076816,-46.33222420229264,12.194483,12.753522,11.491251,1.130002,1.262271,6.521129669085887,0,1.0,True,True
57.67951149520805,23.33201361147232,7.273865469453809,19.147023737008404,-45.51685953734932,18.279741,20.309072,16.929232,0.99132437,3.379840000000001,12.588567322461936,0,1.0,True,True
57.989007972376015,23.3392212985117,7.484240264221193,20.844310650459583,-46.48490377044484,12.713165,13.387769,11.922517,1.0727754,1.465252000000001,7.083903605357499,0,1.0,True,True
57.96486380442858,23.58017097963821,7.326865311897123,20.0452507330728,-47.20577088380842,17.595358,19.512072,16.273886,1.0502069,3.238185999999999,11.919949040377231,0,1.0,True,True
58.29021865632223,23.56311313950644,7.784782543947762,19.81285316337465,-47.12040483479255,18.314924,20.523376,16.957226,1.0099624,3.5661500000000004,12.771156428590992,0,0.8597568869590759,True,True
58.51141173896991,23.583472053671844,7.410325385253006,18.72016296847561,-46.105024423670734,17.145609,19.03689,15.835271,1.0951525,3.201618999999999,11.494795390718046,0,1.0,True,True
58.59373152659763,23.63651277018731,7.4050316715605184,18.36910938785275,-45.979828036328726,16.473394,18.18702,15.216422,1.0372041,2.9705980000000007,10.821028601763889,0,1.0,True,True
58.21587315431726,23.563201391104737,7.859820054121889,20.33574713064993,-47.40933826263048,18.111927,20.269684,16.767166,1.0654304,3.502518000000002,12.588990016204365,0,0.9209960103034972,True,True
58.09386516372074,23.644663086556115,7.842320091834718,20.35120437372544,-48.34159308538509,13.523306,14.414308,12.58623,1.0522459,1.828078,7.995528822363966,0,0.7064133882522583,True,True
58.4483083989658,23.7417418173758,7.728498800241649,19.262269659732578,-47.78798858909191,16.219612,17.903921,14.962777,1.1809828,2.9411439999999995,10.660087719212264,0,1.0,True,True
58.450234631246445,23.81918184093902,7.864910535896297,20.06354580525604,-46.88631611568352,18.019203,20.191437,16.599543,1.0435135,3.591894,12.49767193423229,0,0.8087584972381592,True,True
58.35055879613578,23.799400414244115,7.312227582298997,20.125369913789854,-44.91480158209932,16.478794,18.200987,15.218929,1.0887698,2.982058000000002,10.799042498556751,0,1.0,True,True
58.98356165238337,23.56706328887505,7.487212114131658,19.137855370932986,-46.08277784358752,12.259071,12.838505,11.5363655,1.0852377,1.3021394999999991,6.630671684734633,0,1.0,True,True
