,parallax,pmra,pmdec,color,M_G,ruwe
mean,0.9056704256039626,2.6664115749822748,-4.280871463028846,1.5407964695890524,7.211825174416827,1.0225324607609294
std,0.8375254048506731,6.211842056239918,6.247991742824029,0.5516797218117827,2.927729051021063,0.06565715221014971
median,0.6552634847518931,1.3967454358398217,-2.62054214641787,1.402704,7.200315011296159,1.0156881
